,first_name,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,points_per_game,value_season,chance_of_playing_this_round,chance_of_playing_next_round,transfers_in_event,transfers_out_event,news,news_added,influence,influence_rank,creativity,creativity_rank,threat,threat_rank,ict_index,ict_index_rank,status,total_points,position,overall_strength_home,overall_strength_away,strength_atk_home,strength_atk_away,strength_def_home,strength_def_away,file_date,total_time_played,value
110,Dominic,Thompson,Brentford,2,0.0,44,146,2586,1.5,0.7,0.0,0.0,0,0,Joined Ipswich Town on loan until the end of the season - Expected back 01 Jul,2022-01-27T23:00:14.318228Z,15.8,474,1.2,466,6.0,437,2.3,485,u,3,Defender,1090,1100,1120,1150,1080,1120,2022-06-17,162.22222222222223,0.7
111,Shandon,Baptiste,Brentford,3,0.0,49,898,8990,1.6,7.1,100.0,100.0,0,0,,2021-10-03T23:00:17.188231Z,139.0,364,120.8,270,145.0,247,40.3,328,a,35,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,997.7777777777778,7.1
112,Yoane,Wissa,Brentford,3,0.3,57,1268,38811,3.1,16.1,100.0,100.0,0,0,,2022-02-05T20:30:17.532952Z,348.0,213,133.1,258,402.0,112,87.6,199,a,92,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,1408.888888888889,16.1
113,Álvaro,Fernández,Brentford,1,0.4,45,1080,164504,2.6,6.9,,,0,0,,,353.2,209,0.0,647,0.0,634,35.2,345,a,31,Goalkeeper,1090,1100,1120,1150,1080,1120,2022-06-17,1200.0,6.9
114,Finley,Stevens,Brentford,2,0.3,39,14,51209,1.0,0.3,,,0,0,,,8.6,485,10.3,437,2.0,447,2.1,486,a,1,Defender,1090,1100,1120,1150,1080,1120,2022-06-17,15.555555555555555,0.3
115,Mathias,Jorgensen,Brentford,2,0.0,45,516,11291,2.2,4.0,0.0,100.0,0,0,,2022-04-16T23:00:19.440342Z,108.6,384,44.9,363,57.0,350,21.1,401,a,18,Defender,1090,1100,1120,1150,1080,1120,2022-06-17,573.3333333333334,4.0
119,Nathan,Young-Coombes,Brentford,4,1.1,45,3,210758,1.0,0.2,,,0,0,,,0.0,666,0.0,663,0.0,651,0.0,668,a,1,Forward,1090,1100,1120,1150,1080,1120,2022-06-17,3.3333333333333335,0.2
121,Jonas,Lössl,Brentford,1,0.0,45,180,1482,1.0,0.4,,,0,0,,,15.4,475,0.0,615,0.0,597,1.6,495,a,2,Goalkeeper,1090,1100,1120,1150,1080,1120,2022-06-17,200.0,0.4
122,Christian,Eriksen,Brentford,3,1.8,56,938,258104,3.9,7.7,100.0,100.0,0,0,,2022-02-08T14:00:16.270820Z,285.6,255,482.4,71,192.0,220,95.8,177,a,43,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,1042.2222222222222,7.7
124,Adam,Lallana,Brighton,3,0.1,53,1559,25642,1.8,8.3,100.0,100.0,0,0,,2022-03-13T01:00:20.491527Z,209.4,306,162.9,232,173.0,235,54.6,292,a,44,Midfielder,1100,1090,1160,1160,1100,1120,2022-06-17,1732.2222222222222,8.3
